region,convention,month,sw_all_W_m2,lw_all_W_m2,net_all_W_m2,sw_clr_W_m2,lw_clr_W_m2,net_clr_W_m2,cre_sw_uncertainty_W_m2,cre_lw_uncertainty_W_m2,cre_net_uncertainty_W_m2
antarctic,cloud-free-area,2000-03,95.547377,186.139988,-113.675838,61.317535,203.392561,-96.699201,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2000-04,33.778144,175.953585,-151.095506,22.758813,190.691058,-154.812017,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2000-05,8.672186,168.658973,-163.174392,6.332208,181.628726,-173.803203,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2000-06,3.389020,165.675945,-164.764542,2.204915,177.550609,-175.454675,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2000-07,5.656768,160.160100,-157.310043,5.412893,173.753550,-170.659756,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2000-08,24.686379,161.557690,-148.581732,23.937782,175.850060,-162.122625,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2000-09,79.167569,167.519407,-126.041752,65.216445,182.485589,-127.054383,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2000-10,173.091783,179.439509,-85.121266,144.361250,194.509180,-71.462904,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2000-11,265.465468,197.894129,-33.626190,227.244487,213.242958,-10.756028,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2000-12,300.251263,206.450978,11.357185,237.714246,220.608638,59.735513,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-01,264.544881,207.048792,0.508903,192.039311,222.872075,57.194196,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-02,185.142697,198.752172,-55.775806,126.580544,215.848400,-14.313190,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-03,97.053880,186.861935,-114.718694,63.162790,204.190968,-98.158880,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-04,34.672928,176.944330,-152.412216,22.261672,192.266932,-155.322726,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-05,8.707612,171.599224,-165.975075,6.597171,185.786938,-178.051371,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-06,3.334008,167.828291,-166.846552,2.024512,181.467328,-179.174251,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-07,5.472051,161.991732,-159.048728,5.456203,175.924579,-172.964118,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-08,24.124620,158.338985,-145.212820,21.078184,174.363506,-158.188443,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-09,78.659033,164.088412,-123.039086,64.589079,181.180174,-126.059485,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-10,171.342603,175.254245,-80.604660,141.261989,194.086286,-69.356535,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-11,266.196365,192.184569,-29.884848,221.118165,209.292093,-1.914661,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2001-12,299.252860,204.874742,13.650820,235.690261,220.833285,61.254324,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-01,266.815556,207.807340,-1.517003,187.805612,224.602432,60.699688,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-02,186.253636,198.603893,-55.298808,125.079151,216.407622,-11.933706,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-03,97.208947,190.866138,-117.649814,67.060399,208.450630,-105.088601,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-04,34.514798,179.188547,-153.898036,21.957746,194.429174,-156.581593,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-05,8.748899,174.082497,-168.325609,6.625574,187.884476,-180.000516,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-06,3.376305,167.955990,-167.001039,1.955202,180.773768,-178.395469,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-07,5.437021,162.270207,-159.390923,5.034761,176.419146,-173.135538,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-08,23.110060,163.228145,-149.495353,22.350847,178.284370,-163.792287,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-09,75.349224,173.148606,-129.696965,62.024835,188.502259,-131.724354,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-10,167.338191,182.805154,-85.527346,138.322856,197.305739,-71.014143,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-11,260.860831,197.684358,-31.228144,215.381194,211.352463,0.584437,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2002-12,301.997543,206.124509,9.443274,235.816608,220.704290,61.047740,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2003-01,265.666489,207.948281,0.195641,193.608501,223.979105,56.226940,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2003-02,184.478497,200.261346,-53.913337,128.212311,217.610998,-15.001045,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2003-03,96.744806,188.219010,-113.492814,61.880113,205.083730,-95.496966,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2003-04,34.476786,177.338067,-151.428842,22.920895,193.037031,-155.570815,1.573001,0.506201,1.601687
antarctic,cloud-free-area,2003-05,9.065785,168.454850,-162.844168,6.843439,183.841888,-176.007803,1.573001,0.506201,1.601687
