month,value_W_m2,uncertainty_W_m2,product_global_W_m2
2000-03,6.235342,0.548263,5.956400
2000-04,2.182575,0.548263,1.930600
2000-05,-5.738475,0.548263,-5.929700
2000-06,-10.089472,0.548263,-10.230200
2000-07,-8.557131,0.548263,-8.708600
2000-08,-5.004150,0.548263,-5.212500
2000-09,-0.637932,0.548263,-0.899900
2000-10,1.922711,0.548263,1.659400
2000-11,4.376870,0.548263,4.152100
2000-12,6.190492,0.548263,6.005900
2001-01,9.979897,0.548263,9.778800
2001-02,9.223745,0.548263,8.970500
2001-03,7.818921,0.548263,7.539200
2001-04,1.251476,0.548263,1.001300
2001-05,-5.921999,0.548263,-6.114700
2001-06,-9.580567,0.548263,-9.725400
2001-07,-8.522410,0.548263,-8.672800
2001-08,-5.891099,0.548263,-6.095900
2001-09,0.274072,0.548263,0.012200
2001-10,1.355508,0.548263,1.095300
2001-11,3.794387,0.548263,3.573300
2001-12,5.344020,0.548263,5.155900
2002-01,8.026048,0.548263,7.819700
2002-02,8.296613,0.548263,8.044500
2002-03,6.778690,0.548263,6.496700
2002-04,0.955044,0.548263,0.699400
2002-05,-5.370166,0.548263,-5.565000
2002-06,-9.969595,0.548263,-10.112100
2002-07,-10.016225,0.548263,-10.167000
2002-08,-6.369941,0.548263,-6.579500
2002-09,-0.906870,0.548263,-1.169300
2002-10,2.856039,0.548263,2.588900
2002-11,3.742124,0.548263,3.519900
2002-12,6.233278,0.548263,6.046400
2003-01,7.816482,0.548263,7.615700
2003-02,9.093872,0.548263,8.846100
2003-03,6.684815,0.548263,6.408700
2003-04,1.543688,0.548263,1.290100
2003-05,-5.819315,0.548263,-6.007700
2003-06,-9.294531,0.548263,-9.437400
2003-07,-8.766197,0.548263,-8.913800
2003-08,-4.517459,0.548263,-4.725000
2003-09,-0.332476,0.548263,-0.592500
2003-10,1.854567,0.548263,1.589400
2003-11,3.972846,0.548263,3.748000
2003-12,6.203062,0.548263,6.014600
2004-01,8.845784,0.548263,8.640200
2004-02,9.343717,0.548263,9.094700
2004-03,5.840921,0.548263,5.567500
2004-04,2.611895,0.548263,2.358900
2004-05,-6.282968,0.548263,-6.475400
2004-06,-10.347139,0.548263,-10.487700
2004-07,-7.702037,0.548263,-7.854200
2004-08,-4.989002,0.548263,-5.197700
2004-09,0.225874,0.548263,-0.036000
2004-10,1.624786,0.548263,1.361800
2004-11,4.405582,0.548263,4.183500
2004-12,7.371149,0.548263,7.187000
2005-01,8.242518,0.548263,8.040200
2005-02,8.067176,0.548263,7.818900
2005-03,6.890689,0.548263,6.612800
2005-04,1.371697,0.548263,1.122200
2005-05,-4.124605,0.548263,-4.315000
2005-06,-9.766893,0.548263,-9.907400
2005-07,-9.701628,0.548263,-9.850100
2005-08,-5.735649,0.548263,-5.942500
2005-09,-0.397296,0.548263,-0.655300
2005-10,1.757265,0.548263,1.492200
2005-11,3.794170,0.548263,3.569800
2005-12,7.184158,0.548263,6.995400
2006-01,9.182596,0.548263,8.978000
2006-02,9.441848,0.548263,9.191500
2006-03,6.881096,0.548263,6.604000
2006-04,2.651593,0.548263,2.398300
2006-05,-4.034860,0.548263,-4.227300
2006-06,-9.064206,0.548263,-9.204700
2006-07,-9.181518,0.548263,-9.328800
2006-08,-5.602390,0.548263,-5.810600
2006-09,-0.236534,0.548263,-0.494600
2006-10,1.479183,0.548263,1.216700
2006-11,4.562354,0.548263,4.338300
2006-12,6.279149,0.548263,6.094500
2007-01,7.111958,0.548263,6.915000
2007-02,8.802519,0.548263,8.552700
2007-03,6.153970,0.548263,5.877500
2007-04,2.159672,0.548263,1.905200
2007-05,-5.429078,0.548263,-5.623800
2007-06,-8.555910,0.548263,-8.698600
2007-07,-8.709067,0.548263,-8.858400
2007-08,-5.501538,0.548263,-5.708100
2007-09,-1.503131,0.548263,-1.760300
2007-10,1.902683,0.548263,1.637300
2007-11,3.277707,0.548263,3.055300
2007-12,5.244660,0.548263,5.057400
2008-01,8.764927,0.548263,8.564700
2008-02,8.659713,0.548263,8.407200
2008-03,7.840999,0.548263,7.559300
2008-04,2.042985,0.548263,1.787800
2008-05,-3.964597,0.548263,-4.159100
2008-06,-8.486916,0.548263,-8.626700
2008-07,-7.939933,0.548263,-8.089800
2008-08,-3.659464,0.548263,-3.870800
2008-09,-0.446544,0.548263,-0.707300
2008-10,2.919401,0.548263,2.657700
2008-11,3.740276,0.548263,3.516800
2008-12,7.526446,0.548263,7.339500
2009-01,8.882862,0.548263,8.676800
2009-02,9.546546,0.548263,9.291400
2009-03,7.707372,0.548263,7.427600
2009-04,2.140474,0.548263,1.890800
2009-05,-4.203498,0.548263,-4.400300
2009-06,-7.385538,0.548263,-7.532300
2009-07,-8.677739,0.548263,-8.826000
2009-08,-4.832918,0.548263,-5.038400
2009-09,-1.135853,0.548263,-1.391800
2009-10,1.806584,0.548263,1.542000
2009-11,3.154184,0.548263,2.930300
2009-12,6.449057,0.548263,6.261900
2010-01,6.861957,0.548263,6.662600
2010-02,8.327795,0.548263,8.075200
2010-03,5.901653,0.548263,5.627700
2010-04,2.327909,0.548263,2.077600
2010-05,-5.756607,0.548263,-5.945000
2010-06,-9.590444,0.548263,-9.727200
2010-07,-9.199215,0.548263,-9.346200
2010-08,-5.842050,0.548263,-6.049100
2010-09,-0.687083,0.548263,-0.947300
2010-10,1.777255,0.548263,1.513900
2010-11,2.876525,0.548263,2.652400
2010-12,5.850877,0.548263,5.660100
2011-01,8.782799,0.548263,8.575900
2011-02,8.745405,0.548263,8.492900
