ice_sheet,domain,month,value_m,uncertainty_m,volume_km3,area_km2,n_cells,sampling
antarctica,ice_shelves,1992-03,-0.037222,0.018486,-57.5781,1546886.79,410013,quarterly
antarctica,ice_shelves,1992-06,-0.015070,0.018486,-23.3120,1546886.79,410013,quarterly
antarctica,ice_shelves,1992-09,0.009703,0.018486,15.0089,1546886.79,410013,quarterly
antarctica,ice_shelves,1992-12,-0.010327,0.018486,-15.9747,1546886.79,410013,quarterly
antarctica,ice_shelves,1993-03,-0.049086,0.018486,-75.9301,1546886.79,410013,quarterly
antarctica,ice_shelves,1993-06,-0.020928,0.018486,-32.3727,1546886.79,410013,quarterly
antarctica,ice_shelves,1993-09,0.013093,0.018486,20.2527,1546886.79,410013,quarterly
antarctica,ice_shelves,1993-12,0.004057,0.018486,6.2756,1546886.79,410013,quarterly
antarctica,ice_shelves,1994-03,-0.022629,0.018486,-35.0043,1546886.79,410013,quarterly
antarctica,ice_shelves,1994-06,-0.006462,0.018486,-9.9961,1546886.79,410013,quarterly
antarctica,ice_shelves,1994-09,0.015785,0.018486,24.4169,1546886.79,410013,quarterly
antarctica,ice_shelves,1994-12,-0.002162,0.018486,-3.3450,1546886.79,410013,quarterly
antarctica,ice_shelves,1995-03,-0.035586,0.018486,-55.0472,1546886.79,410013,quarterly
antarctica,ice_shelves,1995-06,-0.016341,0.018486,-25.2780,1546886.79,410013,quarterly
antarctica,ice_shelves,1995-09,0.010168,0.018486,15.7280,1546886.79,410013,quarterly
antarctica,ice_shelves,1995-12,-0.010946,0.018486,-16.9327,1546886.79,410013,quarterly
antarctica,ice_shelves,1996-03,-0.047693,0.018486,-73.7754,1546886.79,410013,quarterly
antarctica,ice_shelves,1996-06,-0.028961,0.018486,-44.7989,1546886.79,410013,quarterly
antarctica,ice_shelves,1996-09,0.001098,0.018486,1.6977,1546886.79,410013,quarterly
antarctica,ice_shelves,1996-12,-0.013861,0.018486,-21.4415,1546886.79,410013,quarterly
antarctica,ice_shelves,1997-03,-0.045520,0.018486,-70.4138,1546886.79,410013,quarterly
antarctica,ice_shelves,1997-06,-0.018260,0.018486,-28.2460,1546886.79,410013,quarterly
antarctica,ice_shelves,1997-09,0.006230,0.018486,9.6378,1546886.79,410013,quarterly
antarctica,ice_shelves,1997-12,-0.025764,0.018486,-39.8533,1546886.79,410013,quarterly
antarctica,ice_shelves,1998-03,-0.068200,0.018486,-105.4972,1546886.79,410013,quarterly
antarctica,ice_shelves,1998-06,-0.039706,0.018486,-61.4214,1546886.79,410013,quarterly
antarctica,ice_shelves,1998-09,-0.015547,0.018486,-24.0494,1546886.79,410013,quarterly
antarctica,ice_shelves,1998-12,-0.036005,0.018486,-55.6953,1546886.79,410013,quarterly
