ice_sheet,domain,month,value_gt_per_yr,uncertainty_gt_per_yr,mean_m_ice_per_yr,period_years,area_km2,n_cells,sampling
antarctica,ice_shelves,1992-03,461.857170,60.079533,0.325597,0.250513,1546886.79,410013,quarterly
antarctica,ice_shelves,1992-06,486.486274,48.593108,0.342959,0.250513,1546886.79,410013,quarterly
antarctica,ice_shelves,1992-09,455.425285,59.668798,0.321062,0.250513,1546886.79,410013,quarterly
antarctica,ice_shelves,1992-12,350.552598,66.054571,0.247130,0.249944,1546886.79,410013,quarterly
antarctica,ice_shelves,1993-03,451.815107,58.449080,0.318517,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1993-06,532.804713,52.939548,0.375613,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1993-09,436.341891,47.375301,0.307609,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1993-12,308.563450,45.816441,0.217529,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1994-03,407.946823,51.035774,0.287591,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1994-06,447.321831,50.914560,0.315350,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1994-09,404.654123,50.084835,0.285270,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1994-12,310.875480,58.032291,0.219159,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1995-03,397.129042,56.981041,0.279965,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1995-06,480.408641,44.605569,0.338675,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1995-09,404.623118,42.501192,0.285248,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1995-12,363.205411,43.484921,0.256050,0.250398,1546886.79,410013,quarterly
antarctica,ice_shelves,1996-03,431.443609,48.407862,0.304156,0.250513,1546886.79,410013,quarterly
antarctica,ice_shelves,1996-06,504.977534,43.949563,0.355995,0.250513,1546886.79,410013,quarterly
antarctica,ice_shelves,1996-09,471.784904,50.626529,0.332595,0.250513,1546886.79,410013,quarterly
antarctica,ice_shelves,1996-12,357.265362,63.123977,0.251862,0.249944,1546886.79,410013,quarterly
antarctica,ice_shelves,1997-03,477.285598,57.921862,0.336473,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1997-06,505.488661,45.994016,0.356356,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1997-09,402.544226,50.522124,0.283783,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1997-12,296.078958,60.543025,0.208728,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1998-03,482.160834,72.360506,0.339910,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1998-06,551.876026,65.570233,0.389057,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1998-09,401.925359,44.125875,0.283346,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1998-12,328.284783,53.359634,0.231432,0.249829,1546886.79,410013,quarterly
antarctica,ice_shelves,1999-03,421.104437,51.895892,0.296867,0.249829,1546886.79,410013,quarterly
