ice_sheet,domain,month,value_km3,uncertainty_km3,uncertainty_correlated_km3,area_km2,n_cells,sampling,epoch_date,product
antarctica,a1_a4,2019-01,-131.505717,1.024648,298.150206,13483000.23,135226,quarterly,2019-01-01,atl15
antarctica,a1_a4,2019-04,149.518921,0.623752,193.278639,13483000.23,135226,quarterly,2019-04-02,atl15
antarctica,a1_a4,2019-07,412.930972,0.578866,184.569087,13483000.23,135226,quarterly,2019-07-02,atl15
antarctica,a1_a4,2019-10,777.170423,0.548515,177.866716,13483000.23,135226,quarterly,2019-10-02,atl15
antarctica,a1_a4,2020-01,0.000000,0.000000,0.000000,13483000.23,135226,quarterly,2020-01-01,atl15
antarctica,a1_a4,2020-04,-301.014032,0.540849,175.105940,13483000.23,135226,quarterly,2020-04-01,atl15
antarctica,a1_a4,2020-07,450.595635,0.491366,155.701564,13483000.23,135226,quarterly,2020-07-02,atl15
antarctica,a1_a4,2020-10,904.328454,0.513263,162.380599,13483000.23,135226,quarterly,2020-10-01,atl15
antarctica,a1_a4,2020-12,96.918437,0.533987,167.789073,13483000.23,135226,quarterly,2020-12-31,atl15
antarctica,a1_a4,2021-04,-110.245878,0.522387,163.569351,13483000.23,135226,quarterly,2021-04-02,atl15
antarctica,a1_a4,2021-07,402.777026,0.518158,162.367970,13483000.23,135226,quarterly,2021-07-02,atl15
antarctica,a1_a4,2021-10,467.877551,0.536781,167.059053,13483000.23,135226,quarterly,2021-10-01,atl15
antarctica,a1_a4,2022-01,341.166156,0.542199,168.705704,13483000.23,135226,quarterly,2022-01-01,atl15
antarctica,a1_a4,2022-04,361.527141,0.552507,171.535278,13483000.23,135226,quarterly,2022-04-02,atl15
antarctica,a1_a4,2022-07,703.359155,0.532646,165.620434,13483000.23,135226,quarterly,2022-07-02,atl15
antarctica,a1_a4,2022-10,1438.531073,0.534250,165.395392,13483000.23,135226,quarterly,2022-10-01,atl15
antarctica,a1_a4,2023-01,413.074301,0.549874,170.153662,13483000.23,135226,quarterly,2023-01-01,atl15
antarctica,a1_a4,2023-04,226.966804,0.542338,167.412676,13483000.23,135226,quarterly,2023-04-02,atl15
antarctica,a1_a4,2023-07,1055.169892,0.530301,164.188736,13483000.23,135226,quarterly,2023-07-02,atl15
antarctica,a1_a4,2023-10,1123.466793,0.539610,166.311042,13483000.23,135226,quarterly,2023-10-02,atl15
antarctica,a1_a4,2024-01,742.405506,0.554546,170.130814,13483000.23,135226,quarterly,2024-01-01,atl15
antarctica,a1_a4,2024-04,459.464984,0.570531,173.674584,13483000.23,135226,quarterly,2024-04-01,atl15
antarctica,a1_a4,2024-07,891.786680,0.612326,188.208994,13483000.23,135226,quarterly,2024-07-02,atl15
antarctica,a1_a4,2024-10,1470.295226,0.559548,168.199056,13483000.23,135226,quarterly,2024-10-01,atl15
antarctica,a1_a4,2024-12,595.420265,0.571104,171.473509,13483000.23,135226,quarterly,2024-12-31,atl15
antarctica,a1_a4,2025-04,468.542422,0.571393,172.037354,13483000.23,135226,quarterly,2025-04-02,atl15
antarctica,a1_a4,2025-07,1182.909373,0.558099,169.207860,13483000.23,135226,quarterly,2025-07-02,atl15
antarctica,a1_a4,2025-10,937.622688,0.617483,185.722153,13483000.23,135226,quarterly,2025-10-01,atl15
antarctica,a1_a4,2026-01,378.203574,1.497613,467.168957,13483000.23,135226,quarterly,2026-01-01,atl15
greenland,gl,2019-01,642.995001,0.610739,65.292897,1748582.03,20016,quarterly,2019-01-01,atl15
greenland,gl,2019-04,971.487139,0.394160,42.591870,1748582.03,20016,quarterly,2019-04-02,atl15
greenland,gl,2019-07,174.724368,0.343451,39.236830,1748582.03,20016,quarterly,2019-07-02,atl15
greenland,gl,2019-10,-354.342289,0.304159,35.087408,1748582.03,20016,quarterly,2019-10-02,atl15
greenland,gl,2020-01,0.000000,0.000000,0.000000,1748582.03,20016,quarterly,2020-01-01,atl15
greenland,gl,2020-04,-19.065852,0.288039,33.450788,1748582.03,20016,quarterly,2020-04-01,atl15
greenland,gl,2020-07,-234.659296,0.276385,30.956276,1748582.03,20016,quarterly,2020-07-02,atl15
greenland,gl,2020-10,-366.239420,0.287536,32.187982,1748582.03,20016,quarterly,2020-10-01,atl15
greenland,gl,2020-12,-115.353505,0.287876,32.015264,1748582.03,20016,quarterly,2020-12-31,atl15
greenland,gl,2021-04,19.201059,0.279926,31.259479,1748582.03,20016,quarterly,2021-04-02,atl15
greenland,gl,2021-07,-262.516949,0.290153,32.547693,1748582.03,20016,quarterly,2021-07-02,atl15
greenland,gl,2021-10,-689.234375,0.291303,32.527590,1748582.03,20016,quarterly,2021-10-01,atl15
greenland,gl,2022-01,-376.230707,0.292153,32.136031,1748582.03,20016,quarterly,2022-01-01,atl15
greenland,gl,2022-04,-210.359348,0.302701,33.616429,1748582.03,20016,quarterly,2022-04-02,atl15
greenland,gl,2022-07,-565.081816,0.298782,33.546990,1748582.03,20016,quarterly,2022-07-02,atl15
greenland,gl,2022-10,-647.639039,0.310045,34.406719,1748582.03,20016,quarterly,2022-10-01,atl15
greenland,gl,2023-01,-315.798272,0.290173,32.293558,1748582.03,20016,quarterly,2023-01-01,atl15
greenland,gl,2023-04,-264.326943,0.283980,31.498671,1748582.03,20016,quarterly,2023-04-02,atl15
greenland,gl,2023-07,-557.797350,0.302448,33.804112,1748582.03,20016,quarterly,2023-07-02,atl15
greenland,gl,2023-10,-1102.055022,0.313865,34.338026,1748582.03,20016,quarterly,2023-10-02,atl15
greenland,gl,2024-01,-697.869418,0.294138,32.260410,1748582.03,20016,quarterly,2024-01-01,atl15
greenland,gl,2024-04,-629.955275,0.304870,33.314001,1748582.03,20016,quarterly,2024-04-01,atl15
greenland,gl,2024-07,-859.275701,0.353519,39.626516,1748582.03,20016,quarterly,2024-07-02,atl15
greenland,gl,2024-10,-933.463115,0.301984,33.516457,1748582.03,20016,quarterly,2024-10-01,atl15
greenland,gl,2024-12,-758.574644,0.305877,33.418458,1748582.03,20016,quarterly,2024-12-31,atl15
greenland,gl,2025-04,-538.703185,0.313961,33.860432,1748582.03,20016,quarterly,2025-04-02,atl15
greenland,gl,2025-07,-732.288414,0.329131,35.882081,1748582.03,20016,quarterly,2025-07-02,atl15
greenland,gl,2025-10,-1161.173360,0.348307,38.731013,1748582.03,20016,quarterly,2025-10-01,atl15
greenland,gl,2026-01,-547.645464,0.811980,94.990620,1748582.03,20016,quarterly,2026-01-01,atl15
