ice_sheet,domain,month,value_km3,uncertainty_km3,uncertainty_correlated_km3,area_km2,n_cells,sampling,epoch_date,product
antarctica,grounded,2003-01,2.391896,2.250395,2697.942188,12334777.08,3270748,monthly,2003-01-16,itslive
antarctica,grounded,2003-02,248.240986,2.215110,2553.604139,12334777.08,3270748,monthly,2003-02-15,itslive
antarctica,grounded,2003-03,444.552911,2.229872,2577.897348,12334777.08,3270748,monthly,2003-03-18,itslive
antarctica,grounded,2003-04,594.311741,2.245602,2600.374671,12334777.08,3270748,monthly,2003-04-17,itslive
antarctica,grounded,2003-05,613.366353,2.378642,2823.468281,12334777.08,3270748,monthly,2003-05-17,itslive
antarctica,grounded,2003-06,615.842821,2.540869,2999.625986,12334777.08,3270748,monthly,2003-06-17,itslive
antarctica,grounded,2003-07,572.018549,2.683531,3140.769746,12334777.08,3270748,monthly,2003-07-17,itslive
antarctica,grounded,2003-08,587.174674,2.594641,2896.593449,12334777.08,3270748,monthly,2003-08-17,itslive
antarctica,grounded,2003-09,553.518063,2.375125,2684.744801,12334777.08,3270748,monthly,2003-09-16,itslive
antarctica,grounded,2003-10,499.151592,2.197959,2487.736777,12334777.08,3270748,monthly,2003-10-16,itslive
antarctica,grounded,2003-11,410.331178,2.252541,2530.811213,12334777.08,3270748,monthly,2003-11-16,itslive
antarctica,grounded,2003-12,231.467213,2.396573,2637.323056,12334777.08,3270748,monthly,2003-12-16,itslive
antarctica,grounded,2004-01,-33.899365,2.469674,2691.160558,12334777.08,3270748,monthly,2004-01-16,itslive
antarctica,grounded,2004-02,3.220281,2.229884,2484.340993,12334777.08,3270748,monthly,2004-02-15,itslive
antarctica,grounded,2004-03,120.275939,2.229726,2486.798279,12334777.08,3270748,monthly,2004-03-17,itslive
antarctica,grounded,2004-04,343.093302,2.205851,2457.719962,12334777.08,3270748,monthly,2004-04-16,itslive
antarctica,grounded,2004-05,486.591540,2.212715,2447.028420,12334777.08,3270748,monthly,2004-05-17,itslive
antarctica,grounded,2004-06,553.867251,2.187425,2415.912609,12334777.08,3270748,monthly,2004-06-16,itslive
antarctica,grounded,2004-07,510.019074,2.326170,2558.676529,12334777.08,3270748,monthly,2004-07-17,itslive
antarctica,grounded,2004-08,357.598190,2.698400,3140.712559,12334777.08,3270748,monthly,2004-08-16,itslive
antarctica,grounded,2004-09,470.648125,2.302438,2576.409019,12334777.08,3270748,monthly,2004-09-16,itslive
antarctica,grounded,2004-10,472.028258,2.207215,2484.793793,12334777.08,3270748,monthly,2004-10-16,itslive
antarctica,grounded,2004-11,386.974413,2.189242,2453.537596,12334777.08,3270748,monthly,2004-11-16,itslive
antarctica,grounded,2004-12,291.544525,2.525155,2782.264068,12334777.08,3270748,monthly,2004-12-16,itslive
antarctica,grounded,2005-01,132.470372,2.489086,2736.037723,12334777.08,3270748,monthly,2005-01-16,itslive
antarctica,grounded,2005-02,152.626224,2.206185,2475.166434,12334777.08,3270748,monthly,2005-02-15,itslive
antarctica,grounded,2005-03,229.872197,2.172303,2435.007799,12334777.08,3270748,monthly,2005-03-18,itslive
antarctica,grounded,2005-04,265.617460,2.145653,2404.544219,12334777.08,3270748,monthly,2005-04-17,itslive
antarctica,grounded,2005-05,278.631697,2.123097,2378.701925,12334777.08,3270748,monthly,2005-05-17,itslive
antarctica,grounded,2005-06,320.562404,2.112893,2370.532685,12334777.08,3270748,monthly,2005-06-17,itslive
antarctica,grounded,2005-07,389.693406,2.285133,2543.365092,12334777.08,3270748,monthly,2005-07-17,itslive
antarctica,grounded,2005-08,573.180236,2.735355,3180.475155,12334777.08,3270748,monthly,2005-08-17,itslive
antarctica,grounded,2005-09,780.485296,2.491583,2738.295977,12334777.08,3270748,monthly,2005-09-16,itslive
antarctica,grounded,2005-10,821.442883,2.207105,2467.899362,12334777.08,3270748,monthly,2005-10-16,itslive
antarctica,grounded,2005-11,765.175490,2.209550,2447.574504,12334777.08,3270748,monthly,2005-11-16,itslive
antarctica,grounded,2005-12,636.044277,2.373595,2605.981454,12334777.08,3270748,monthly,2005-12-16,itslive
antarctica,grounded,2006-01,510.016389,2.555134,2774.162345,12334777.08,3270748,monthly,2006-01-16,itslive
antarctica,grounded,2006-02,434.454953,2.248725,2496.588882,12334777.08,3270748,monthly,2006-02-15,itslive
antarctica,grounded,2006-03,465.505596,2.233810,2460.881207,12334777.08,3270748,monthly,2006-03-18,itslive
antarctica,grounded,2006-04,517.695788,2.226450,2452.081303,12334777.08,3270748,monthly,2006-04-17,itslive
antarctica,grounded,2006-05,622.291540,2.202289,2425.403022,12334777.08,3270748,monthly,2006-05-17,itslive
antarctica,grounded,2006-06,725.007741,2.153821,2403.893873,12334777.08,3270748,monthly,2006-06-17,itslive
antarctica,grounded,2006-07,742.154898,2.253866,2510.248409,12334777.08,3270748,monthly,2006-07-17,itslive
antarctica,grounded,2006-08,810.391757,2.729590,3169.808947,12334777.08,3270748,monthly,2006-08-17,itslive
antarctica,grounded,2006-09,805.274629,2.568336,2822.692976,12334777.08,3270748,monthly,2006-09-16,itslive
antarctica,grounded,2006-10,795.438055,2.243810,2503.551860,12334777.08,3270748,monthly,2006-10-16,itslive
antarctica,grounded,2006-11,762.801271,2.212355,2455.047981,12334777.08,3270748,monthly,2006-11-16,itslive
antarctica,grounded,2006-12,746.035540,2.323153,2577.711654,12334777.08,3270748,monthly,2006-12-16,itslive
antarctica,grounded,2007-01,613.099757,2.724541,3136.264686,12334777.08,3270748,monthly,2007-01-16,itslive
antarctica,grounded,2007-02,535.123027,2.392204,2633.781909,12334777.08,3270748,monthly,2007-02-15,itslive
antarctica,grounded,2007-03,407.271296,2.178646,2417.792503,12334777.08,3270748,monthly,2007-03-18,itslive
antarctica,grounded,2007-04,516.415115,2.166528,2408.852059,12334777.08,3270748,monthly,2007-04-17,itslive
antarctica,grounded,2007-05,644.945464,2.383279,2604.272051,12334777.08,3270748,monthly,2007-05-17,itslive
antarctica,grounded,2007-06,801.582382,2.666040,3081.928486,12334777.08,3270748,monthly,2007-06-17,itslive
antarctica,grounded,2007-07,793.416458,2.662901,3073.880720,12334777.08,3270748,monthly,2007-07-17,itslive
antarctica,grounded,2007-08,787.050507,2.679068,3098.509901,12334777.08,3270748,monthly,2007-08-17,itslive
antarctica,grounded,2007-09,611.335246,2.236428,2493.051504,12334777.08,3270748,monthly,2007-09-16,itslive
antarctica,grounded,2007-10,494.497601,2.175050,2424.961740,12334777.08,3270748,monthly,2007-10-16,itslive
antarctica,grounded,2007-11,382.188858,2.179602,2428.417385,12334777.08,3270748,monthly,2007-11-16,itslive
antarctica,grounded,2007-12,279.960694,2.611221,2851.890156,12334777.08,3270748,monthly,2007-12-16,itslive
antarctica,grounded,2008-01,161.835242,2.423015,2644.687311,12334777.08,3270748,monthly,2008-01-16,itslive
antarctica,grounded,2008-02,138.178474,2.177504,2411.442221,12334777.08,3270748,monthly,2008-02-15,itslive
antarctica,grounded,2008-03,212.224880,2.178957,2414.453934,12334777.08,3270748,monthly,2008-03-17,itslive
antarctica,grounded,2008-04,370.010336,2.322984,2548.446405,12334777.08,3270748,monthly,2008-04-16,itslive
antarctica,grounded,2008-05,503.097591,2.668886,3090.312919,12334777.08,3270748,monthly,2008-05-17,itslive
antarctica,grounded,2008-06,510.003396,2.670394,3094.246801,12334777.08,3270748,monthly,2008-06-16,itslive
antarctica,grounded,2008-07,541.009034,2.674149,3109.490360,12334777.08,3270748,monthly,2008-07-17,itslive
antarctica,grounded,2008-08,641.378345,2.700166,3164.438380,12334777.08,3270748,monthly,2008-08-16,itslive
antarctica,grounded,2008-09,648.142797,2.395684,2632.676039,12334777.08,3270748,monthly,2008-09-16,itslive
antarctica,grounded,2008-10,640.152118,2.323235,2557.102290,12334777.08,3270748,monthly,2008-10-16,itslive
antarctica,grounded,2008-11,558.936336,2.154564,2390.438305,12334777.08,3270748,monthly,2008-11-16,itslive
antarctica,grounded,2008-12,413.042489,2.330357,2552.647713,12334777.08,3270748,monthly,2008-12-16,itslive
antarctica,grounded,2009-01,314.050723,2.416889,2629.112192,12334777.08,3270748,monthly,2009-01-16,itslive
antarctica,grounded,2009-02,430.589528,2.369692,2588.032141,12334777.08,3270748,monthly,2009-02-15,itslive
